station_name,time,total_traffic,最高气温℃,最低气温℃,天气,风向,风力,work,trip_count,体育休闲服务_proportion,医疗保健服务_proportion,住宿服务_proportion,风景名胜_proportion,科教文化服务_proportion,交通枢纽_proportion,生活类服务_proportion,公司_proportion,住宅区_proportion,pay_type_0_proportion,pay_type_1_proportion,pay_type_2_proportion,pay_type_3_proportion,天气_中雨,天气_多云,天气_小雨,天气_晴,天气_阴,风向_东北风,风向_东风,风向_北风,风向_西北风,风向_西南风,风力_北风3-4级,风力_微风
南苑站,2019-01-01,16164,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
古翠路站,2019-01-01,26974,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
城星路站,2019-01-01,7964,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
城站,2019-01-01,85737,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,True,False,False,False,True
墩祥街站,2019-01-01,19279,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
复兴路站,2019-01-01,7223,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
婺江路站,2019-01-01,26745,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,True,False,False,False,False,False,True,False,True
学院路站,2019-01-01,24455,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,True,False,False,False,False,False,True
定安路站,2019-01-01,64963,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,True,False,False,False,False,False,True,False,False,False,True
客运中心站,2019-01-01,70821,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,True,False,False,False,False,True,False,False,False,True
市民中心站,2019-01-01,24916,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,False,False,False,False,True,False,False,True,False,False,False,True
庆春广场站,2019-01-01,20512,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
庆菱路站,2019-01-01,17528,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建国北路站,2019-01-01,20564,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建设一路站,2019-01-01,10517,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建设三路站,2019-01-01,17590,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
彭埠站,2019-01-01,33507,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
打铁关站,2019-01-01,38674,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
振宁路站,2019-01-01,21745,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文新站,2019-01-01,26328,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文泽路站,2019-01-01,61774,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文海南路站,2019-01-01,51652,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
新塘站,2019-01-01,10328,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
新风站,2019-01-01,6752,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
景芳站,2019-01-01,29496,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
曹家桥站,2019-01-01,7466,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
朝阳站,2019-01-01,17422,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
杜甫村站,2019-01-01,20507,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
杨家墩站,2019-01-01,19599,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
杭发厂站,2019-01-01,29869,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
武林广场站,2019-01-01,75760,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
武林门站,2019-01-01,21874,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
水澄桥站,2019-01-01,13590,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
江锦路站,2019-01-01,21730,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
江陵路站,2019-01-01,45818,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
沈塘桥站,2019-01-01,22417,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
浦沿站,2019-01-01,15656,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
湘湖站,2019-01-01,22729,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
滨和路站,2019-01-01,24385,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
滨康路站,2019-01-01,12477,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
潘水站,2019-01-01,12786,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
火车东站,2019-01-01,357089,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
甬江路站,2019-01-01,4639,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
白洋站,2019-01-01,9176,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
盈丰路站,2019-01-01,12349,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
翁梅站,2019-01-01,22443,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
联庄站,2019-01-01,17751,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
良渚站,2019-01-01,13644,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
虾龙圩站,2019-01-01,20120,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
西兴站,2019-01-01,32289,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
西湖文化广场站,2019-01-01,48386,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
近江站,2019-01-01,24263,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
金家渡站,2019-01-01,24493,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
金沙湖站,2019-01-01,53702,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
钱江世纪城站,2019-01-01,13836,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
钱江路站,2019-01-01,29982,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
闸弄口站,2019-01-01,36247,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
飞虹路站,2019-01-01,18243,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
高沙路站,2019-01-01,24022,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
龙翔桥站,2019-01-01,167448,6,1,小雨,北风,微风,0,1262633,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
七堡站,2019-01-02,15282,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
三坝站,2019-01-02,28988,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
三墩站,2019-01-02,24233,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
下沙江滨站,2019-01-02,18554,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
下沙西站,2019-01-02,13853,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
中医药大学站,2019-01-02,21260,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
中河北路站,2019-01-02,26177,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
丰潭路站,2019-01-02,32714,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
临平站,2019-01-02,46194,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
乔司南站,2019-01-02,9081,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
乔司站,2019-01-02,20084,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
九和路站,2019-01-02,36538,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
九堡站,2019-01-02,20460,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
云水站,2019-01-02,19281,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
人民广场站,2019-01-02,23402,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
人民路站,2019-01-02,20372,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
余杭高铁站,2019-01-02,9210,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
凤起路A站,2019-01-02,49822,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
凤起路B站,2019-01-02,22310,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
南星桥站,2019-01-02,23845,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
南苑站,2019-01-02,16789,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
古翠路站,2019-01-02,40598,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
城星路站,2019-01-02,31559,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
城站,2019-01-02,68527,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
墩祥街站,2019-01-02,22692,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
复兴路站,2019-01-02,8429,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
婺江路站,2019-01-02,20399,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
学院路站,2019-01-02,33549,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
定安路站,2019-01-02,44528,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
客运中心站,2019-01-02,52337,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
市民中心站,2019-01-02,31853,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
庆春广场站,2019-01-02,34236,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
庆菱路站,2019-01-02,22682,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建国北路站,2019-01-02,30703,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建设一路站,2019-01-02,13070,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
建设三路站,2019-01-02,20467,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
彭埠站,2019-01-02,46013,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
打铁关站,2019-01-02,44307,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
振宁路站,2019-01-02,26666,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文新站,2019-01-02,28423,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文泽路站,2019-01-02,36402,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
文海南路站,2019-01-02,33484,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
新塘站,2019-01-02,12404,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
新风站,2019-01-02,10287,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
景芳站,2019-01-02,32637,5,3,小雨,西北风,微风,1,1183165,0.09,0.07,0.17,0.14,0.15,0.11,0.08,0.1,0.09,0.132865,0.454504,0.300773,0.111858,,,,,,,,,,,,
